Customer ID,Age,Gender,Annual Income,Spending Score
1,30,Male,151479.00,89
2,58,Female,185088.00,95
3,62,Female,70912.00,76
4,23,Male,55460.00,57
5,24,Male,153752.00,76
6,42,Male,158335.00,40
7,27,Female,163501.00,37
8,24,Male,70476.00,17
9,83,Male,47743.00,34
10,62,Female,63448.00,3
11,37,Male,170566.00,75
12,63,Female,89355.00,80
13,25,Male,87576.00,17
14,32,Female,159892.00,96
15,51,Female,135079.00,87
16,64,Female,32869.00,81
17,19,Male,198682.00,82
18,89,Male,38708.00,97
19,65,Male,87270.00,3
20,26,Male,45518.00,12
21,21,Male,199879.00,49
22,70,Male,163828.00,36
23,24,Male,109188.00,6
24,39,Female,48212.00,36
25,61,Male,141596.00,45
26,19,Female,192492.00,57
27,79,Male,109550.00,7
28,61,Female,38132.00,15
29,73,Female,170959.00,55
30,58,Male,80731.00,23
31,90,Female,123085.00,25
32,39,Female,135748.00,95
33,35,Female,71372.00,52
34,79,Male,164259.00,96
35,57,Female,105742.00,7
36,76,Male,189412.00,87
37,40,Male,64309.00,62
38,82,Female,84966.00,66
39,84,Female,35701.00,5
40,56,Female,43376.00,52
41,21,Female,118137.00,43
42,55,Male,77165.00,86
43,24,Male,119922.00,80
44,45,Male,82425.00,39
45,28,Male,149778.00,15
46,67,Female,129484.00,80
47,69,Female,73479.00,77
48,26,Female,81259.00,29
49,45,Male,147126.00,1
50,39,Female,44774.00,12
51,27,Female,198647.00,25
52,58,Female,85181.00,16
53,46,Male,87741.00,3
54,45,Female,137494.00,68
55,63,Female,56531.00,2
56,36,Male,63564.00,23
57,25,Female,198265.00,29
58,62,Male,22655.00,39
59,36,Male,125614.00,35
60,48,Female,170509.00,54
61,50,Female,101081.00,32
62,48,Female,45667.00,95
63,49,Female,189732.00,2
64,80,Female,30718.00,49
65,33,Female,134933.00,90
66,21,Male,55978.00,34
67,38,Female,36650.00,91
68,83,Female,173558.00,53
69,54,Female,29187.00,61
70,81,Female,188612.00,45
71,44,Male,101492.00,55
72,23,Male,169008.00,31
73,39,Female,145660.00,81
74,75,Female,118063.00,35
75,19,Female,95891.00,93
76,24,Male,154402.00,79
77,44,Female,112848.00,14
78,55,Female,127451.00,31
79,60,Male,98827.00,27
80,33,Male,67969.00,27
81,52,Female,60785.00,9
82,72,Female,66416.00,53
83,72,Male,152544.00,59
84,72,Female,35507.00,72
85,68,Male,167873.00,24
86,65,Male,23002.00,32
87,81,Female,111464.00,34
88,64,Female,120469.00,20
89,76,Male,85934.00,48
90,30,Female,99419.00,4
91,68,Female,194339.00,35
92,70,Male,187033.00,14
93,57,Male,164879.00,9
94,90,Female,34276.00,98
95,65,Male,97470.00,67
96,36,Female,142836.00,40
97,72,Female,62084.00,59
98,61,Male,166752.00,93
99,46,Male,43269.00,54
100,68,Male,114111.00,42
101,31,Female,75683.00,65
102,51,Male,196283.00,31
103,37,Female,132793.00,22
104,25,Male,141598.00,63
105,30,Male,195148.00,27
106,21,Female,175112.00,33
107,65,Male,81473.00,10
108,21,Male,172147.00,80
109,22,Female,106474.00,74
110,70,Female,198254.00,13
111,71,Male,148746.00,13
112,27,Female,40263.00,77
113,21,Female,115816.00,55
114,53,Male,149880.00,32
115,51,Female,88029.00,84
116,49,Female,193839.00,43
117,56,Female,54564.00,18
118,55,Male,134714.00,96
119,84,Male,187596.00,44
120,38,Male,129717.00,71
121,46,Female,48265.00,62
122,27,Male,179234.00,97
123,53,Female,156298.00,35
124,65,Male,156022.00,49
125,22,Male,158363.00,83
126,23,Female,114512.00,25
127,18,Female,96397.00,64
128,44,Female,171517.00,76
129,38,Female,181538.00,68
130,54,Male,47403.00,42
131,88,Female,167725.00,51
132,24,Female,185297.00,95
133,70,Male,160196.00,34
134,42,Female,117940.00,82
135,74,Male,190938.00,65
136,22,Female,138220.00,20
137,78,Male,94764.00,75
138,44,Female,83991.00,1
139,70,Male,82642.00,56
140,58,Female,123333.00,91
141,38,Male,70435.00,24
142,88,Male,189093.00,50
143,33,Female,177848.00,29
144,59,Female,96744.00,97
145,72,Female,83218.00,32
146,27,Male,39027.00,29
147,35,Female,139195.00,33
148,37,Female,144020.00,45
149,44,Female,186527.00,6
150,29,Male,48177.00,53
151,58,Female,139447.00,35
152,39,Female,119071.00,3
153,33,Male,181795.00,1
154,65,Female,150797.00,44
155,52,Female,76398.00,31
156,45,Female,58209.00,64
157,82,Male,122425.00,46
158,59,Female,46020.00,78
159,34,Female,61463.00,72
160,52,Male,29917.00,3
161,59,Male,194285.00,47
162,45,Female,96402.00,43
163,29,Male,146297.00,82
164,83,Male,148435.00,71
165,26,Male,111030.00,96
166,79,Male,27136.00,48
167,49,Male,197608.00,33
168,19,Female,55184.00,32
169,48,Female,92981.00,70
170,22,Male,40540.00,40
171,54,Male,88161.00,40
172,83,Male,165910.00,52
173,60,Male,167341.00,34
174,78,Female,90847.00,77
175,33,Female,35619.00,73
176,27,Female,41176.00,50
177,33,Female,120389.00,51
178,55,Male,74456.00,13
179,46,Female,181085.00,64
180,87,Female,46613.00,76
181,79,Male,83333.00,73
182,19,Female,165788.00,44
183,22,Female,99687.00,51
184,31,Male,83755.00,8
185,84,Male,155012.00,80
186,27,Male,56250.00,100
187,20,Male,111933.00,39
188,36,Male,191350.00,99
189,77,Female,94946.00,92
190,67,Female,63064.00,26
191,26,Male,82707.00,4
192,34,Female,135368.00,27
193,40,Male,44192.00,70
194,41,Male,32923.00,95
195,57,Male,100359.00,18
196,35,Female,28555.00,18
197,85,Female,142048.00,11
198,63,Female,111526.00,91
199,35,Male,33041.00,15
200,77,Male,157332.00,57
201,25,Male,71927.00,39
202,28,Male,194371.00,19
203,31,Male,85563.00,28
204,85,Female,130091.00,37
205,90,Male,42161.00,94
206,28,Male,159617.00,71
207,70,Male,46295.00,54
208,46,Male,74147.00,48
209,71,Male,190491.00,75
210,81,Female,124912.00,24
211,35,Male,84210.00,53
212,37,Male,134784.00,6
213,71,Male,185966.00,6
214,50,Male,140875.00,83
215,65,Male,177020.00,100
216,83,Male,151188.00,88
217,39,Female,33191.00,2
218,32,Female,163264.00,64
219,26,Male,40345.00,23
220,24,Male,184070.00,21
221,65,Female,44776.00,36
222,36,Female,119502.00,52
223,41,Female,113729.00,54
224,83,Female,194008.00,55
225,61,Female,60084.00,36
226,84,Female,144269.00,1
227,33,Female,109638.00,49
228,89,Female,88161.00,50
229,35,Female,182663.00,68
230,89,Female,91139.00,59
231,40,Male,180570.00,23
232,69,Female,57994.00,35
233,88,Female,172761.00,69
234,34,Female,38774.00,84
235,88,Male,80079.00,9
236,61,Female,23888.00,59
237,60,Female,189867.00,98
238,78,Female,23342.00,91
239,35,Female,76836.00,29
240,53,Male,170065.00,28
241,33,Male,99420.00,64
242,86,Male,174987.00,71
243,90,Female,117976.00,85
244,84,Male,74475.00,54
245,54,Female,103099.00,49
246,20,Male,188784.00,21
247,86,Female,28187.00,37
248,73,Female,145465.00,54
249,35,Female,120472.00,94
250,88,Female,37300.00,4
251,54,Female,113062.00,65
252,19,Male,150107.00,61
253,84,Male,22452.00,48
254,60,Female,42834.00,32
255,39,Female,81494.00,66
256,85,Female,59981.00,38
257,60,Female,91707.00,89
258,85,Male,31207.00,51
259,82,Female,160112.00,44
260,44,Male,199826.00,4
261,48,Male,124952.00,1
262,21,Female,42522.00,48
263,87,Male,54581.00,94
264,41,Male,68045.00,37
265,52,Female,141101.00,30
266,76,Female,74629.00,27
267,72,Female,70373.00,4
268,67,Male,22820.00,19
269,32,Female,83620.00,77
270,71,Female,96598.00,33
271,38,Male,55259.00,53
272,57,Female,26527.00,59
273,80,Male,152277.00,50
274,60,Male,150622.00,51
275,53,Male,177668.00,26
276,84,Female,138972.00,90
277,26,Male,52463.00,75
278,34,Female,139068.00,63
279,67,Female,193657.00,23
280,31,Female,154450.00,38
281,81,Female,116964.00,89
282,67,Male,122895.00,41
283,32,Female,176367.00,2
284,32,Female,118656.00,21
285,81,Male,68370.00,93
286,77,Male,105926.00,7
287,27,Female,124703.00,17
288,59,Female,147027.00,49
289,37,Female,110855.00,1
290,47,Male,70702.00,66
291,28,Male,82523.00,10
292,63,Male,42330.00,88
293,18,Male,178560.00,90
294,55,Male,129907.00,39
295,46,Female,134580.00,1
296,72,Female,107376.00,38
297,78,Female,125187.00,95
298,62,Male,186372.00,61
299,60,Female,127462.00,31
300,76,Female,74630.00,37
301,32,Male,95027.00,5
302,77,Female,126515.00,52
303,56,Male,166446.00,89
304,64,Male,158708.00,2
305,67,Female,120643.00,87
306,52,Male,57458.00,35
307,58,Female,29260.00,83
308,50,Male,190730.00,46
309,54,Female,184263.00,13
310,23,Male,142365.00,37
311,59,Male,193543.00,47
312,22,Female,129465.00,92
313,77,Male,65179.00,75
314,53,Male,30343.00,26
315,46,Female,38876.00,73
316,57,Male,135290.00,39
317,76,Female,189305.00,39
318,34,Male,151112.00,35
319,89,Male,66323.00,86
320,34,Female,174069.00,15
321,64,Male,76655.00,16
322,24,Male,143372.00,25
323,55,Female,111764.00,18
324,84,Male,142286.00,39
325,72,Female,148326.00,95
326,53,Female,101061.00,61
327,85,Male,161924.00,26
328,85,Female,173245.00,84
329,45,Male,196725.00,19
330,43,Female,20953.00,32
331,86,Female,109022.00,29
332,19,Female,129516.00,21
333,45,Female,164003.00,51
334,36,Female,27840.00,36
335,51,Female,145171.00,71
336,38,Male,26427.00,39
337,27,Male,56203.00,32
338,19,Male,82173.00,10
339,81,Male,54017.00,17
340,72,Male,54956.00,2
341,78,Male,186007.00,97
342,53,Male,160578.00,6
343,83,Female,178348.00,29
344,77,Female,169719.00,55
345,54,Female,165825.00,98
346,42,Male,193045.00,89
347,70,Male,78287.00,3
348,29,Female,118684.00,34
349,88,Male,116405.00,39
350,37,Male,121849.00,4
351,22,Female,143719.00,41
352,21,Female,101576.00,83
353,36,Female,26334.00,57
354,50,Male,157555.00,17
355,53,Male,74738.00,55
356,70,Male,129521.00,31
357,38,Female,137145.00,59
358,58,Male,38318.00,60
359,48,Female,91467.00,69
360,51,Female,45879.00,15
361,27,Male,52391.00,41
362,33,Female,119850.00,56
363,76,Female,170078.00,6
364,79,Male,117332.00,26
365,52,Female,174466.00,55
366,85,Female,101361.00,96
367,18,Male,98304.00,58
368,41,Female,144752.00,78
369,82,Female,24320.00,23
370,54,Male,106714.00,20
371,22,Male,194907.00,76
372,75,Male,85799.00,96
373,71,Male,63982.00,75
374,41,Female,87073.00,25
375,90,Female,140436.00,10
376,21,Female,90740.00,56
377,69,Male,174694.00,43
378,75,Female,71474.00,91
379,70,Male,56374.00,7
380,40,Male,88459.00,95
381,23,Female,133914.00,44
382,41,Female,182523.00,79
383,34,Male,183346.00,22
384,78,Female,136769.00,33
385,40,Male,20733.00,51
386,20,Female,41393.00,30
387,73,Male,36205.00,21
388,47,Female,65662.00,57
389,56,Male,97772.00,74
390,71,Female,197836.00,15
391,57,Female,54469.00,10
392,60,Female,124047.00,98
393,73,Male,81323.00,70
394,82,Female,39391.00,26
395,48,Male,101082.00,26
396,77,Female,109549.00,74
397,59,Male,194924.00,40
398,60,Male,178052.00,54
399,23,Female,106726.00,22
400,45,Male,198713.00,19
401,63,Male,92958.00,25
402,18,Male,159187.00,56
403,71,Male,93430.00,16
404,24,Female,42163.00,74
405,71,Female,122521.00,66
406,87,Female,135385.00,78
407,44,Male,183922.00,2
408,70,Male,20908.00,68
409,58,Female,173955.00,56
410,88,Female,94293.00,83
411,26,Female,21649.00,59
412,69,Female,180330.00,53
413,73,Male,37561.00,86
414,88,Female,81898.00,73
415,64,Male,101560.00,75
416,85,Male,44607.00,13
417,64,Male,173348.00,84
418,63,Female,127435.00,77
419,64,Male,170870.00,72
420,21,Male,129790.00,7
421,79,Male,80187.00,83
422,83,Male,159614.00,8
423,76,Male,89407.00,16
424,67,Male,153531.00,59
425,85,Female,198777.00,89
426,59,Male,78594.00,19
427,55,Male,85115.00,91
428,39,Male,193628.00,85
429,77,Female,102407.00,100
430,34,Female,89281.00,56
431,86,Male,82548.00,60
432,40,Female,103640.00,52
433,68,Female,91405.00,1
434,79,Male,123445.00,66
435,29,Male,137270.00,66
436,83,Male,171348.00,63
437,41,Female,141119.00,40
438,82,Female,127526.00,14
439,75,Female,185054.00,47
440,78,Female,107494.00,94
441,53,Male,57688.00,10
442,78,Male,149736.00,44
443,75,Male,50256.00,78
444,66,Female,134911.00,59
445,86,Female,74521.00,6
446,29,Male,148755.00,82
447,19,Female,161632.00,9
448,68,Male,38528.00,98
449,84,Male,22909.00,75
450,67,Female,187832.00,10
451,46,Female,95914.00,81
452,55,Female,153041.00,38
453,84,Male,76245.00,50
454,67,Male,129619.00,38
455,69,Female,198222.00,25
456,65,Male,119444.00,93
457,78,Male,38448.00,48
458,40,Male,97741.00,52
459,72,Female,164386.00,46
460,54,Male,91225.00,28
461,19,Female,122126.00,46
462,62,Female,54526.00,76
463,55,Male,158515.00,50
464,26,Female,154839.00,83
465,51,Male,154021.00,71
466,51,Male,191537.00,41
467,34,Male,66604.00,91
468,79,Female,69881.00,29
469,53,Female,85717.00,13
470,49,Female,190332.00,53
471,48,Male,26077.00,52
472,23,Female,174708.00,85
473,80,Female,156773.00,67
474,19,Female,169276.00,95
475,79,Female,95639.00,76
476,75,Female,124498.00,27
477,44,Female,120679.00,77
478,52,Male,152295.00,91
479,69,Male,165227.00,27
480,66,Female,159783.00,32
481,38,Female,175705.00,31
482,64,Female,137245.00,60
483,45,Female,194383.00,4
484,73,Female,59263.00,35
485,63,Female,95665.00,99
486,73,Male,48069.00,82
487,83,Female,113215.00,70
488,74,Male,53856.00,23
489,39,Female,172160.00,6
490,86,Female,72309.00,54
491,41,Male,49545.00,43
492,57,Female,120031.00,39
493,69,Male,167306.00,54
494,66,Male,89511.00,46
495,40,Male,55208.00,16
496,60,Female,108863.00,80
497,46,Female,181242.00,98
498,88,Male,169138.00,100
499,57,Female,164003.00,55
500,51,Female,37102.00,43
501,70,Male,55667.00,22
502,64,Female,176766.00,68
503,81,Male,196637.00,74
504,20,Female,184387.00,40
505,58,Male,104660.00,47
506,77,Female,139804.00,22
507,41,Female,174504.00,52
508,86,Male,52216.00,62
509,40,Male,80082.00,79
510,43,Female,127348.00,7
511,56,Male,48666.00,47
512,74,Female,40689.00,75
513,82,Male,135260.00,63
514,25,Female,135621.00,44
515,52,Male,22771.00,1
516,36,Male,185752.00,31
517,58,Male,124853.00,30
518,83,Female,25680.00,74
519,49,Female,123489.00,79
520,79,Female,123362.00,7
521,36,Female,133984.00,93
522,56,Male,50427.00,52
523,74,Male,109479.00,75
524,29,Female,79914.00,38
525,48,Male,70861.00,79
526,61,Male,173781.00,57
527,42,Male,124496.00,64
528,20,Male,190420.00,69
529,34,Male,100159.00,59
530,33,Male,54510.00,96
531,38,Male,156178.00,41
532,51,Male,59939.00,59
533,22,Male,145127.00,53
534,67,Male,64896.00,99
535,84,Female,88812.00,51
536,26,Female,154753.00,57
537,69,Male,159919.00,40
538,19,Male,45336.00,53
539,56,Female,160231.00,12
540,41,Male,144324.00,21
541,22,Female,131870.00,14
542,69,Male,20104.00,39
543,57,Female,77952.00,5
544,24,Male,199076.00,65
545,31,Male,92650.00,2
546,25,Male,170959.00,70
547,55,Male,83562.00,34
548,54,Male,172382.00,23
549,39,Male,60008.00,27
550,31,Male,144867.00,81
551,72,Male,196122.00,11
552,87,Female,27167.00,33
553,71,Male,168707.00,99
554,69,Female,93861.00,12
555,37,Female,55490.00,27
556,47,Female,114120.00,15
557,52,Male,187849.00,59
558,49,Female,99984.00,63
559,74,Male,184858.00,29
560,34,Male,160824.00,50
561,72,Male,73969.00,65
562,36,Female,138816.00,65
563,28,Male,145481.00,88
564,90,Female,114829.00,2
565,47,Male,87398.00,24
566,86,Male,61327.00,7
567,73,Female,124554.00,15
568,55,Female,83935.00,85
569,67,Male,60892.00,59
570,78,Male,20413.00,44
571,64,Male,108810.00,63
572,43,Female,132743.00,36
573,83,Female,104181.00,1
574,34,Male,125144.00,85
575,77,Female,32247.00,63
576,59,Male,111425.00,52
577,72,Female,38618.00,31
578,57,Male,63778.00,57
579,71,Male,193546.00,63
580,31,Male,30505.00,48
581,81,Female,72824.00,24
582,82,Male,117130.00,58
583,41,Male,114443.00,14
584,58,Female,126819.00,34
585,72,Female,160849.00,97
586,80,Male,95597.00,47
587,23,Female,73735.00,98
588,83,Female,163569.00,18
589,35,Female,195678.00,71
590,67,Male,122477.00,19
591,29,Female,98005.00,38
592,66,Female,140084.00,44
593,33,Female,183148.00,84
594,87,Male,140111.00,44
595,72,Female,38611.00,87
596,61,Male,195305.00,66
597,63,Male,170688.00,73
598,69,Female,78140.00,41
599,31,Male,153008.00,58
600,27,Female,131134.00,99
601,22,Male,76090.00,13
602,38,Female,184355.00,71
603,83,Female,31241.00,58
604,50,Male,91230.00,27
605,38,Female,65547.00,61
606,75,Male,129187.00,21
607,70,Female,91037.00,11
608,85,Female,153007.00,31
609,87,Female,152894.00,70
610,57,Male,31879.00,43
611,36,Female,96992.00,80
612,54,Male,174665.00,37
613,43,Female,56543.00,81
614,87,Female,24933.00,70
615,39,Female,47123.00,26
616,74,Male,134385.00,26
617,45,Female,71723.00,21
618,26,Female,158873.00,77
619,44,Male,163155.00,79
620,21,Male,144965.00,36
621,31,Female,144207.00,81
622,82,Male,109643.00,16
623,22,Male,100009.00,28
624,53,Male,71711.00,100
625,69,Male,192592.00,71
626,30,Female,196354.00,9
627,64,Female,183627.00,18
628,82,Female,194775.00,74
629,57,Female,167315.00,32
630,22,Female,140054.00,51
631,56,Male,97860.00,53
632,90,Female,199124.00,11
633,34,Female,57864.00,62
634,41,Male,95094.00,78
635,21,Female,146016.00,85
636,21,Male,63732.00,88
637,47,Male,40378.00,10
638,87,Male,142648.00,72
639,86,Male,183401.00,24
640,71,Female,74309.00,26
641,20,Male,150191.00,99
642,33,Male,139770.00,8
643,64,Male,195668.00,83
644,84,Male,196994.00,86
645,66,Male,153493.00,46
646,21,Female,65829.00,71
647,71,Female,68902.00,7
648,48,Male,34334.00,72
649,69,Female,140446.00,31
650,42,Female,50311.00,98
651,62,Male,180947.00,48
652,50,Female,75689.00,44
653,82,Male,168093.00,92
654,84,Male,90479.00,96
655,34,Female,67592.00,9
656,54,Female,38854.00,91
657,37,Female,63136.00,78
658,90,Male,133348.00,62
659,39,Male,190374.00,50
660,87,Female,131804.00,6
661,39,Male,119018.00,38
662,80,Female,48706.00,31
663,68,Female,140546.00,51
664,66,Female,112968.00,73
665,85,Male,129072.00,61
666,37,Male,196133.00,55
667,53,Female,127298.00,8
668,57,Male,103755.00,14
669,89,Male,62184.00,22
670,63,Male,88947.00,26
671,37,Female,180052.00,88
672,58,Male,166959.00,29
673,62,Female,150808.00,36
674,81,Female,102709.00,6
675,89,Female,133661.00,2
676,19,Male,144231.00,36
677,39,Male,194799.00,46
678,42,Female,191997.00,89
679,58,Male,100317.00,11
680,72,Male,96935.00,89
681,24,Male,180003.00,17
682,90,Female,38784.00,64
683,25,Female,143162.00,45
684,84,Male,95450.00,78
685,52,Female,24667.00,41
686,66,Female,67024.00,81
687,55,Male,180936.00,58
688,30,Female,97533.00,99
689,79,Male,152325.00,95
690,75,Male,87225.00,9
691,28,Female,70856.00,59
692,88,Male,39342.00,67
693,42,Female,40136.00,53
694,48,Male,71283.00,1
695,64,Male,145973.00,16
696,44,Female,34010.00,57
697,39,Male,33550.00,11
698,32,Female,45918.00,4
699,80,Female,136836.00,85
700,34,Female,46580.00,2
701,70,Male,179860.00,41
702,83,Male,180766.00,80
703,31,Female,197347.00,72
704,18,Male,132488.00,87
705,86,Male,68477.00,32
706,82,Male,100445.00,77
707,86,Male,96699.00,35
708,34,Female,51610.00,82
709,46,Female,129463.00,22
710,54,Female,113387.00,97
711,85,Female,49379.00,15
712,49,Male,88212.00,96
713,73,Female,190422.00,63
714,60,Female,173741.00,20
715,62,Male,153858.00,17
716,21,Male,33269.00,93
717,65,Male,162596.00,64
718,83,Male,74815.00,82
719,42,Female,28411.00,7
720,90,Male,163256.00,4
721,78,Female,45558.00,72
722,61,Female,159298.00,70
723,64,Female,166158.00,55
724,18,Male,154195.00,30
725,35,Female,76966.00,71
726,18,Female,33355.00,2
727,83,Female,119458.00,21
728,58,Male,30990.00,37
729,20,Female,45574.00,88
730,78,Male,160067.00,80
731,71,Male,129333.00,61
732,54,Male,112107.00,44
733,29,Female,86306.00,9
734,48,Female,162071.00,67
735,36,Female,129514.00,72
736,54,Female,185161.00,38
737,67,Male,114207.00,5
738,19,Male,120882.00,56
739,35,Male,181792.00,42
740,27,Male,59681.00,34
741,18,Male,122518.00,85
742,63,Male,114478.00,99
743,71,Female,147895.00,83
744,29,Male,30192.00,79
745,47,Female,130569.00,49
746,89,Male,175733.00,34
747,66,Male,48675.00,54
748,46,Female,187218.00,81
749,89,Male,65850.00,49
750,34,Female,30409.00,78
751,43,Female,86441.00,81
752,64,Female,81651.00,73
753,71,Male,154377.00,32
754,42,Female,89716.00,47
755,33,Female,170368.00,3
756,24,Male,149763.00,24
757,85,Male,75489.00,14
758,26,Female,58208.00,78
759,65,Female,183468.00,82
